name,Roll_no,age
Farem Kogupine,1,21
Jalin Yurefoma,2,19
Sagar Delunipe,3,24
Vonep Turekasi,4,25
Namin Fesogura,5,20
Zerak Lopumedi,6,23
Hasim Jogepule,7,18
Runel Vepomika,8,22
Kalim Besufona,9,19
Tonar Ceguloma,10,24
Quran Dapuleni,11,22
Lanik Gopirase,12,25
Barem Sosunife,13,21
Jorel Tupemani,14,23
Garek Fenupita,15,20
Zerun Muselapi,16,24
Samir Xolapeni,17,18
Rufan Nelokake,18,22
Makon Virepusa,19,19
Terun Halopike,20,23
Zidan Pemafuri,21,24
Larez Honumipa,22,21
Jakir Resomila,23,25
Rohit Gelopani,24,20
Nafis Solurine,25,22
Vanik Qeromuta,26,18
Puran Jekasoli,27,23
Behar Kelurima,28,25
Jonel Faseturi,29,19
Zaver Menolupi,30,24
Zahin Tepurona,31,22
Daler Qonapiku,32,21
Rahim Wagoluna,33,19
Tusar Jelokami,34,23
Nofil Pemusari,35,25
Ravin Dosulela,36,24
Kaleb Xonimere,37,20
Yamin Zusefona,38,21
Ronil Werupasi,39,23
Sonel Makufira,40,19
Lefan Rasewoni,41,25
Masud Fopirela,42,22
Rakib Zelumona,43,24
Jonas Tepirufa,44,23
Hasan Gokumira,45,18
Ferid Mesupola,46,25
Tamin Ropelusa,47,20
Bilal Conafuri,48,21
Naeem Zoperuli,49,24
Warun Lokanife,50,19
Rasel Jefonupi,51,23
Juwel Hafomira,52,22
Rabin Xegumona,53,18
Farid Zonupeli,54,24
Kafil Sorejuma,55,21
Mubin Kogirali,56,23
Tahmid Revunise,57,19
Shafin Pelonuke,58,25
Ridoy Xenopumi,59,22
Omar Yekosuna,60,21
Emran Wapelogi,61,23
Adnan Lerofusa,62,24
Shuvo Gemalopi,63,19
Tanvir Komupale,64,18
Sifat Zelonipa,65,22
Riyad Wenofala,66,25
Shakib Qenorami,67,20
Imran Lokepura,68,21
Tawsif Nefulopi,69,24
Shadman Fopeluri,70,18
Mehedi Xeralupi,71,23
Ovi Qaromisa,72,22
Naimur Wunefila,73,25
Ikram Velosuni,74,19
Yasin Relokuma,75,24
Naheem Fokupira,76,20
Ashik Qerumola,77,21
Siam Tokarela,78,18
Rasel Pelumiga,79,23
Sajib Gonofeli,80,25
Hasib Xolonime,81,22
Ayman Worepila,82,24
Rakim Guposeri,83,19
Rafiq Neforila,84,21
Tawsin Helonupi,85,23
Zubair Vekumani,86,25
Jahim Zonapule,87,22
Miraj Calenupi,88,19
Wasif Qomenira,89,24
Arman Fepoliku,90,23
Abrar Tugalomi,91,20
Noman Xorupile,92,21
Kazi Doleruma,93,25
Sajid Wepolari,94,18
Tahsin Gelomuni,95,22
Zarin Resapuli,96,24
Ahsan Conelupa,97,23
Javed Muloreni,98,21
Shohag Fenupira,99,25
Rubel Sokalimi,100,19
