Roll_no,Name,Age
111,Anirudh,20
1,Soja,19
2,Roja,19
3,Moja,19
1,Farem Kogupine,21
2,Jalin Yurefoma,19
3,Sagar Delunipe,24
4,Vonep Turekasi,25
5,Namin Fesogura,20
6,Zerak Lopumedi,23
7,Hasim Jogepule,18
8,Runel Vepomika,22
9,Kalim Besufona,19
10,Tonar Ceguloma,24
11,Quran Dapuleni,22
12,Lanik Gopirase,25
13,Barem Sosunife,21
14,Jorel Tupemani,23
15,Garek Fenupita,20
16,Zerun Muselapi,24
17,Samir Xolapeni,18
18,Rufan Nelokake,22
19,Makon Virepusa,19
20,Terun Halopike,23
21,Zidan Pemafuri,24
22,Larez Honumipa,21
23,Jakir Resomila,25
24,Rohit Gelopani,20
25,Nafis Solurine,22
26,Vanik Qeromuta,18
27,Puran Jekasoli,23
28,Behar Kelurima,25
29,Jonel Faseturi,19
30,Zaver Menolupi,24
31,Zahin Tepurona,22
32,Daler Qonapiku,21
33,Rahim Wagoluna,19
34,Tusar Jelokami,23
35,Nofil Pemusari,25
36,Ravin Dosulela,24
37,Kaleb Xonimere,20
38,Yamin Zusefona,21
39,Ronil Werupasi,23
40,Sonel Makufira,19
41,Lefan Rasewoni,25
42,Masud Fopirela,22
43,Rakib Zelumona,24
44,Jonas Tepirufa,23
45,Hasan Gokumira,18
46,Ferid Mesupola,25
47,Tamin Ropelusa,20
48,Bilal Conafuri,21
49,Naeem Zoperuli,24
50,Warun Lokanife,19
51,Rasel Jefonupi,23
52,Juwel Hafomira,22
53,Rabin Xegumona,18
54,Farid Zonupeli,24
55,Kafil Sorejuma,21
56,Mubin Kogirali,23
57,Tahmid Revunise,19
58,Shafin Pelonuke,25
59,Ridoy Xenopumi,22
60,Omar Yekosuna,21
61,Emran Wapelogi,23
62,Adnan Lerofusa,24
63,Shuvo Gemalopi,19
64,Tanvir Komupale,18
65,Sifat Zelonipa,22
66,Riyad Wenofala,25
67,Shakib Qenorami,20
68,Imran Lokepura,21
69,Tawsif Nefulopi,24
70,Shadman Fopeluri,18
71,Mehedi Xeralupi,23
72,Ovi Qaromisa,22
73,Naimur Wunefila,25
74,Ikram Velosuni,19
75,Yasin Relokuma,24
76,Naheem Fokupira,20
77,Ashik Qerumola,21
78,Siam Tokarela,18
79,Rasel Pelumiga,23
80,Sajib Gonofeli,25
81,Hasib Xolonime,22
82,Ayman Worepila,24
83,Rakim Guposeri,19
84,Rafiq Neforila,21
85,Tawsin Helonupi,23
86,Zubair Vekumani,25
87,Jahim Zonapule,22
88,Miraj Calenupi,19
89,Wasif Qomenira,24
90,Arman Fepoliku,23
91,Abrar Tugalomi,20
92,Noman Xorupile,21
93,Kazi Doleruma,25
94,Sajid Wepolari,18
95,Tahsin Gelomuni,22
96,Zarin Resapuli,24
97,Ahsan Conelupa,23
98,Javed Muloreni,21
99,Shohag Fenupira,25
100,Rubel Sokalimi,19
